author,text,date,likes,video_title
@tuyulmesir-w1o,Sistem RAW udah di pake google pixel sejak lama😅,2025-11-25T18:14:53Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@gandaronggolawe,Motorola 60 pro jg SDH raw disegmen 7jtan,2025-11-24T09:25:38Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@delf4a,perbedaan apple log 1 dan 2 apa yaa? apakah lebih bagus apple log 2?,2025-11-24T08:20:16Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@sanchongs,"pake seadanya dulu aja, mau beli sayang duit. malah nanti jatuhnya berlebihan sama fitur fitur yang kadang ga kepake wkwk",2025-11-24T06:46:00Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@nabila.explorer,Kebanyakan pengguna ipon cm di pake pamer  doang buat tentang tenteng di tangan..Kana miskin fitur,2025-11-21T10:53:24Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@nagabonar275,Iphone sudah saatnya turun harga 😂,2025-11-13T11:32:12Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@fahrurrazikin6876,Keren juga nih POCO 17 Pro,2025-10-31T10:06:05Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@jojomatek,jadi lebih baik mana beli kamera apa beli iphone?,2025-10-31T01:07:57Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@RickyIndraGumanty,Nonton kontennya pakai Iphone17 promax 😅,2025-10-31T00:47:40Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Agaragar_,"hp burik, ama pura 80 ultra aja langit dan bumi, penyepong ipon batu bat emang",2025-10-29T08:20:47Z,1,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@vicstour8423,"Dan di banyak tempat bawa kamera dslr untuk hobi dilarang atau dimintain uang, tapi bawa iPhone 17 bebas2 aja",2025-10-28T23:48:32Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@shahrulzahri9774,Iphone noob...,2025-10-27T23:14:28Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@Richard-d9f,"99% pengguna Iphone hanya menggunakan mode standard, jepret posting, kalau pun di edit kebanyakan hanya foto itu pun bukan foto RAW.",2025-10-27T03:09:54Z,5,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@auliaaulia5904,Fitur terbaru Bunglon bisa berubah warna🤣🤭,2025-10-27T02:24:21Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
@dodolberduri7079,"Utk urusan videografi, iphone blm ada lawan sih. Gw gunain 15 pro utk bahan video2 dan game.  dan galaxy s25 ultra utk hp harian dan foto2. Dua hp ini jujur diluar konteks perkameraan, ennnnakk bgt dipakenya. Tier S gw bilang",2025-10-27T01:08:24Z,0,HP Sekarang Bawa Format PRORES RAW!! iPhone 17 Pro Indonesia
